index,roi_name,hemisphere,region_full_name,functional_system,sub_system
325,L_IP0_ROI,Left,Intraparietal Area 0,DorsalAttention,Parietal
326,L_PFop_ROI,Left,Opercular Parietal Area PF,DefaultMode,Parietal
327,L_PF_ROI,Left,Supramarginal Gyrus (Area PF),DefaultMode,Parietal
328,L_PFm_ROI,Left,Medial Parietal Area PF,DefaultMode,Parietal
329,L_PGi_ROI,Left,Inferior Angular Gyrus (Area PG),DefaultMode,Parietal
330,L_PGs_ROI,Left,Superior Angular Gyrus (Area PG),DefaultMode,Parietal
331,L_V6A_ROI,Left,Visual Area 6A (V6A),Visual,Dorsal
332,L_VMV1_ROI,Left,Ventromedial Visual Area 1 (VMV1),Visual,Ventral
333,L_VMV3_ROI,Left,Ventromedial Visual Area 3 (VMV3),Visual,Ventral
334,L_PHA2_ROI,Left,Parahippocampal Area 2,Limbic,Parahippocampal
335,L_V4t_ROI,Left,Transitional Visual Area 4 (V4t),Visual,Ventral
336,L_FST_ROI,Left,Fundus of Superior Temporal Sulcus,Visual,Dorsal
337,L_V3CD_ROI,Left,Dorsal Visual Transition Area 3 (V3CD),Visual,Dorsal
338,L_LO3_ROI,Left,Lateral Occipital Area 3 (LO3),Visual,Lateral
339,L_VMV2_ROI,Left,Ventromedial Visual Area 2 (VMV2),Visual,Ventral
340,L_31pd_ROI,Left,Posterior Dorsal Cingulate Area 31,DefaultMode,PosteriorCingulate
341,L_31a_ROI,Left,Anterior Cingulate Area 31,DefaultMode,PosteriorCingulate
342,L_VVC_ROI,Left,Ventral Visual Complex,Visual,Ventral
343,Sg25_L,Left,Subgenual Cingulate Area 25,Limbic,SubgenualCingulate
344,Sgs32_L,Left,Subgenual Cingulate Area 32,Limbic,SubgenualCingulate
345,L_pOFC_ROI,Left,Posterior Orbitofrontal Complex,Limbic,Orbitofrontal
346,L_PoI1_ROI,Left,Posterior Insular Area 1,CinguloOpercular,Insula
347,L_Ig_ROI,Left,Granular Insula,CinguloOpercular,Insula
348,L_FOP5_ROI,Left,Frontal Opercular Area 5,CinguloOpercular,FrontalOperculum
349,L_p10p_ROI,Left,Posterior Polar Area 10,DefaultMode,Prefrontal
350,L_p47r_ROI,Left,Posterior Rostral Orbitofrontal Area 47,Limbic,Orbitofrontal
351,L_TGv_ROI,Left,Ventral Temporal Pole,Temporal,Association
352,L_MBelt_ROI,Left,Medial Auditory Parabelt,Auditory,Belt
353,L_LBelt_ROI,Left,Lateral Auditory Parabelt,Auditory,Belt
354,L_A4_ROI,Left,Auditory Association Area 4,Auditory,Association
355,L_STSva_ROI,Left,Ventral Anterior Superior Temporal Sulcus,VentralAttention,Temporal
356,L_TE1m_ROI,Left,Middle Inferotemporal Area TE1,Temporal,Inferotemporal
357,L_PI_ROI,Left,Parieto-Insular Vestibular Cortex,VentralAttention,Vestibular
358,L_a32pr_ROI,Left,Anterior Pregenual Cingulate Area 32,CinguloOpercular,AnteriorCingulate
359,L_p24_ROI,Left,Posterior Cingulate Area 24,CinguloOpercular,MidCingulate
360,HIP-head-m1-rh,Right,Hippocampus (Head Subfield m1),Limbic,Hippocampus
361,HIP-head-m2-rh,Right,Hippocampus (Head Subfield m2),Limbic,Hippocampus
362,THA-VAip-rh,Right,Thalamus (Ventral Anterior internal part),Thalamus,Thalamus
363,THA-VAia-rh,Right,Thalamus (Ventral Anterior internal part),Thalamus,Thalamus
364,HIP-head-l-rh,Right,Hippocampus (Head Lateral),Limbic,Hippocampus
365,HIP-body-rh,Right,Hippocampus (Body),Limbic,Hippocampus
366,HIP-tail-rh,Right,Hippocampus (Tail),Limbic,Hippocampus
367,THA-VPm-rh,Right,Thalamus (Ventral Posteromedial),Thalamus,Thalamus
368,THA-VPl-rh,Right,Thalamus (Ventral Posterolateral),Thalamus,Thalamus
369,THA-VAs-rh,Right,Thalamus (Ventral Anterior superior part),Thalamus,Thalamus
370,THA-DAm-rh,Right,Thalamus (Dorsomedial anterior medial part),Thalamus,Thalamus
371,THA-DAl-rh,Right,Thalamus (Dorsomedial anterior lateral part),Thalamus,Thalamus
372,PUT-VA-rh,Right,Putamen (Ventral Anterior),BasalGanglia,Striatum
373,PUT-DA-rh,Right,Putamen (Dorsal Anterior),BasalGanglia,Striatum
374,PUT-VP-rh,Right,Putamen (Ventral Posterior),BasalGanglia,Striatum
375,PUT-DP-rh,Right,Putamen (Dorsal Posterior),BasalGanglia,Striatum
376,CAU-VA-rh,Right,Caudate Nucleus (Ventral Anterior),BasalGanglia,Striatum
377,CAU-DA-rh,Right,Caudate Nucleus (Dorsal Anterior),BasalGanglia,Striatum
378,CAU-body-rh,Right,Caudate Nucleus (Body),BasalGanglia,Striatum
379,CAU-tail-rh,Right,Caudate Nucleus (Tail),BasalGanglia,Striatum
380,lAMY-rh,Right,Amygdala (Lateral),Limbic,Amygdala
381,mAMY-rh,Right,Amygdala (Medial),Limbic,Amygdala
382,THA-DP-rh,Right,Thalamus (Dorsal Posterior / Pulvinar),Thalamus,Thalamus
383,NAc-shell-rh,Right,Nucleus Accumbens (Shell),Limbic,Striatum
384,NAc-core-rh,Right,Nucleus Accumbens (Core),Limbic,Striatum
385,pGP-rh,Right,Globus Pallidus (Posterior),BasalGanglia,Pallidum
386,aGP-rh,Right,Globus Pallidus (Anterior),BasalGanglia,Pallidum
387,HIP-head-m1-lh,Left,Hippocampus (Head Subfield m1),Limbic,Hippocampus
388,HIP-head-m2-lh,Left,Hippocampus (Head Subfield m2),Limbic,Hippocampus
389,THA-VAip-lh,Left,Thalamus (Ventral Anterior internal part),Thalamus,Thalamus
390,THA-VAia-lh,Left,Thalamus (Ventral Anterior internal part),Thalamus,Thalamus
391,HIP-head-l-lh,Left,Hippocampus (Head Lateral),Limbic,Hippocampus
392,HIP-body-lh,Left,Hippocampus (Body),Limbic,Hippocampus
393,HIP-tail-lh,Left,Hippocampus (Tail),Limbic,Hippocampus
394,THA-VPm-lh,Left,Thalamus (Ventral Posteromedial),Thalamus,Thalamus
395,THA-VPl-lh,Left,Thalamus (Ventral Posterolateral),Thalamus,Thalamus
396,THA-VAs-lh,Left,Thalamus (Ventral Anterior superior part),Thalamus,Thalamus
397,THA-DAm-lh,Left,Thalamus (Dorsomedial anterior medial part),Thalamus,Thalamus
398,THA-DAl-lh,Left,Thalamus (Dorsomedial anterior lateral part),Thalamus,Thalamus
399,PUT-VA-lh,Left,Putamen (Ventral Anterior),BasalGanglia,Striatum
400,PUT-DA-lh,Left,Putamen (Dorsal Anterior),BasalGanglia,Striatum
401,PUT-VP-lh,Left,Putamen (Ventral Posterior),BasalGanglia,Striatum
402,PUT-DP-lh,Left,Putamen (Dorsal Posterior),BasalGanglia,Striatum
403,CAU-VA-lh,Left,Caudate Nucleus (Ventral Anterior),BasalGanglia,Striatum
404,CAU-DA-lh,Left,Caudate Nucleus (Dorsal Anterior),BasalGanglia,Striatum
405,CAU-body-lh,Left,Caudate Nucleus (Body),BasalGanglia,Striatum
406,CAU-tail-lh,Left,Caudate Nucleus (Tail),BasalGanglia,Striatum
407,lAMY-lh,Left,Amygdala (Lateral),Limbic,Amygdala
408,mAMY-lh,Left,Amygdala (Medial),Limbic,Amygdala
409,THA-DP-lh,Left,Thalamus (Dorsal Posterior / Pulvinar),Thalamus,Thalamus
410,NAc-shell-lh,Left,Nucleus Accumbens (Shell),Limbic,Striatum
411,NAc-core-lh,Left,Nucleus Accumbens (Core),Limbic,Striatum
412,pGP-lh,Left,Globus Pallidus (Posterior),BasalGanglia,Pallidum
413,aGP-lh,Left,Globus Pallidus (Anterior),BasalGanglia,Pallidum
